fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
0.10915497333736987,0.2615044415315174,0.5440275289902895,0.22617431441759434,0.18236046016190882,0.6684750916050445,0.6508854028292395,0.41537713703080165,0.1531719234333195,0.2738186870114808,1
0.14114416412269334,0.2983608134229314,0.6203450551522579,0.12028237849579146,0.09394972305070305,0.5975922750341859,0.6533971188480285,0.3848963396802061,0.9593450751909121,0.27225786350315995,1
0.1540124188650225,0.051133125198899364,0.3741868577354578,0.45044800434428445,0.38708990200255644,0.5529390312397225,0.6616650913941197,0.567360633580727,0.5022405859662534,0.27236786439803196,0
0.047187909030396935,0.055784940030882475,0.045441689450362976,0.6626391528645126,0.5112910097997444,0.6703934406072822,0.5865371613701951,0.46137180976770287,0.47472521490003855,0.5403023954330007,0
0.0,0.07390204992975205,0.1931743188460452,0.7332337768123812,0.5881976991904558,0.7343161240993936,0.653809226453979,0.5852235632592733,0.3085963417939886,0.39339620033125133,0
0.06393413855619634,0.11330740350758708,0.17516734232110875,0.5390985609557426,0.4324669791222838,0.7091179474262549,0.6105756392424287,0.5915878247535943,0.22906036028576973,0.1677825811501872,1
0.04167592538738736,0.07980021550202454,0.05930046195908367,0.7081183817540048,0.6859821048146569,0.6139659866097568,0.5026099015901987,0.5268916131173973,0.7777663098893147,0.06533518015916831,0
0.47973197681268354,0.15691842337654627,0.5394079381540492,0.1777083898995384,0.1604175543246698,0.7823978049407931,0.8146273398912689,0.5562769228337245,0.046932648586973415,0.709139795975097,1
1.0,0.38832625737654425,0.7735929103422269,0.05919087700244366,0.0,0.0,0.20240666764965493,0.33350722025940766,0.8568191278330568,0.49196829952589616,0
0.055979343980489316,0.12260284695979443,0.1327896672009049,0.8998099375509094,0.7703451214316148,0.6806805423663258,0.6375647803938703,0.5846671250958354,0.3028811746545551,0.37274130257113713,0
